fecha_venta,hora_venta,Producto,Valor_sugerido,venta_final,venta_inventario,valor_compra,contribucion,Comprador,fecha_ingreso_inventario,NOMBRE,sexo_producto,color_prenda,talla_prenda,proveedor,OBSERVACIONES
2022-09-24,1000,1100,95000,80000,95000,69000,11000,Hombre,2022-07-04,CHAQUETA APLIQUE,HOMBRE,NEGRO,M,TOTAS,
2022-09-24,1400,1104,80000,70000,80000,46000,24000,,2022-07-04,GABAN SMOKING,MUJER,GRIS,XL,TOTAS,
2022-09-24,1500,0112,75000,65000,72000,42000,23000,Mujer,2022-06-01,GABAN MURCIELAGO,MUJER,BEIS,U,TULCAN,
2022-09-24,1500,1105,75000,65000,75000,41000,24000,Mujer,2022-07-04,SIENA,MUJER,NEGRO,M,TOTAS,
2022-09-28,,1282,50000,45000,50000,30000,15000,,2022-08-20,BUSO CUELLO,UNISEX,ROJO,L,ETANOL CAMISAS,
2022-09-29,1700,1326,70000,65000,70000,42700,22300,Mujer,2022-09-08,CUELLO ABIERTO,MUJER,MOSTAZA,U,TULCAN,
2022-10-01,1630,1115,70000,60000,70000,38000,22000,Hombre,2022-07-04,CHAQUETA SIGMA,HOMBRE,GRIS MEDIO,U,TOTAS,
2022-10-01,1700,0050,72000,65000,72000,42667,22333,Mujer,2022-06-01,AJEDREZ,MUJER,GRIS,U,TULCAN,
2022-10-03,1400,1346,60000,55000,60000,32000,23000,Hombre,2022-10-02,POLO,HOMBRE,NEGRO,S,TOTAS,
2022-10-03,1600,1304,70000,60000,70000,40565,19435,Mujer,2022-09-08,NURIJEF,MUJER,GRIS,U,TULCAN,
2022-10-03,1400,1031,60000,50000,60000,32000,18000,Mujer,2022-06-07,POLO,HOMBRE,AZUL,XXL,TOTAS,
2022-10-03,1400,0115,60000,50000,60000,35000,15000,Mujer,2022-06-01,CAPOTA SOLO FONDO,HOMBRE,BEIGE,U,TOTAS,
2022-10-04,1200,1289,70000,60000,70000,40565,19435,Hombre,2022-09-08,BUZO ESCALERA,HOMBRE,CAFE,U,TULCAN,
2022-10-05,1800,1331,70000,60000,70000,40565,19435,Mujer,2022-09-08,CANGURO,MUJER,GRIS,U,TULCAN,
2022-10-05,1900,1363,50000,45000,50000,27000,18000,Mujer,2022-10-02,CHALECO LOLA,MUJER,NEGRO,U,TOTAS,
2022-10-06,1200,1361,50000,45000,50000,27000,18000,Mujer,2022-10-02,CHALECO LOLA,MUJER,AGUA MARINA,U,TOTAS,
2022-10-07,1200,0041,70000,60000,70000,40000,20000,Mujer,2022-06-01,MARA,MUJER,MORADO,S,TOTAS,
2022-10-08,,0075,68000,55000,68000,40000,15000,,2022-06-01,FLORIDA,HOMBRE,NEGRO,U,TOTAS,
2022-10-08,1900,0014,60000,60000,60000,34666,25334,Mujer,2022-06-01,BUZO ACANALADO,MUJER,GRIS,U,TULCAN,
2022-10-10,1100,1294,70000,65000,70000,38430,26570,,2022-09-08,LLACADO CON FELPA,MUJER,CAFE,U,TULCAN,
2022-10-14,1000,1063,20000,15000,20000,8300,6700,Mujer,2022-06-16,BASICA,MUJER,NEGRO,M,ETANOL CAMISAS,
2022-10-14,1100,1085,70000,65000,70000,38000,27000,Hombre,2022-07-04,GAMUZA,HOMBRE,NEGRO,XL,TOTAS,
2022-10-14,1200,0049,72000,65000,72000,42667,22333,Mujer,2022-06-01,AJEDREZ,MUJER,CAFE,U,TULCAN,
2022-10-14,1500,1379,55000,50000,55000,29000,21000,Mujer,2022-10-02,GOOD,MUJER,NEGRO,U,TOTAS,
2022-10-14,1500,1290,70000,63000,70000,40565,22435,Hombre,2022-09-08,BUZO ESCALERA,HOMBRE,GRIS,U,TULCAN,
2022-10-14,1500,1278,50000,45000,50000,30000,15000,Mujer,2022-08-20,BUSO CUELLO,UNISEX,GRIS,M,ETANOL CAMISAS,
2022-10-14,1800,1127,70000,70000,70000,38000,32000,Hombre,2022-07-04,ITALIA,HOMBRE,NEGRO,XL,TOTAS,
2022-10-15,1100,1292,70000,60000,70000,38430,21570,Mujer,2022-09-08,LLACADO CON FELPA,MUJER,ROSADO,U,TULCAN,
2022-10-17,1100,1120,65000,55000,65000,35000,20000,Mujer,2022-07-04,CAPOTA SOLO FONDO,HOMBRE,AZUL,XL,TOTAS,
2022-10-17,1200,0114,60000,55000,60000,35000,20000,Mujer,2022-06-01,CAPOTA SOLO FONDO,HOMBRE,VINOTINTO,XL,TOTAS,
2022-10-20,,1005,70000,65000,70000,38000,27000,,2022-06-07,AMORE,MUJER,MORADO,U,TOTAS,
2022-10-24,1600,1066,20000,15000,20000,9100,5900,Mujer,2022-06-16,BASICA,MUJER,AZUL,XXL,ETANOL CAMISAS,
2022-10-24,1730,1207,25000,20000,25000,12300,7700,Mujer,2022-08-11,CAMIBUSO,MUJER,ROSADO,L,ETANOL CAMISAS,
2022-10-25,,1353,70000,65000,70000,40000,25000,,2022-10-02,KABUL,HOMBRE,NEGRO,U,TOTAS,
2022-10-26,,1281,50000,45000,50000,30000,15000,,2022-08-20,BUSO CUELLO,UNISEX,ROJO,M,ETANOL CAMISAS,
2022-10-28,1100,0111,72000,70000,72000,42000,28000,Mujer,2022-06-01,GABAN MURCIELAGO,MUJER,NEGRO,U,TULCAN,
